id,name,industry,tone,primary,secondary,accent,background,surface,text,tags
calendario-compliance-navy,"Calendario Compliance (proyecto actual)",compliance,professional,#003366,#004080,#D52B1E,#F9FAFB,#FFFFFF,#1E2D47,"b2b saas compliance corporate navy professional comex mexico actual proyecto"
saas-navy-professional,"Corporate Navy SaaS",saas,professional,#003366,#1E4D8C,#F59E0B,#F8FAFC,#FFFFFF,#1E293B,"b2b saas compliance corporate navy professional trust"
saas-indigo-modern,"Modern Indigo SaaS",saas,modern,#4F46E5,#6366F1,#EC4899,#F8FAFC,#FFFFFF,#1E293B,"saas modern indigo purple tech startup"
saas-slate-minimal,"Slate Minimal SaaS",saas,minimal,#334155,#475569,#3B82F6,#F8FAFC,#FFFFFF,#0F172A,"saas minimal slate corporate clean professional"
saas-emerald-growth,"Emerald Growth SaaS",saas,optimistic,#059669,#10B981,#F59E0B,#F0FDF4,#FFFFFF,#064E3B,"saas growth emerald green success positive"
saas-violet-creative,"Violet Creative Platform",saas,creative,#7C3AED,#8B5CF6,#F59E0B,#FAF5FF,#FFFFFF,#3B0764,"saas creative platform violet purple bold"
compliance-blue-trust,"Compliance Blue Trust",compliance,trust,#1E40AF,#2563EB,#D97706,#EFF6FF,#FFFFFF,#1E3A5F,"compliance legal regulatory trust blue professional government"
compliance-dark-authority,"Compliance Dark Authority",compliance,authoritative,#0F172A,#1E293B,#3B82F6,#020617,#0F172A,#E2E8F0,"compliance dark authority government enterprise"
legal-charcoal,"Legal Charcoal",legal,serious,#1F2937,#374151,#B45309,#F9FAFB,#FFFFFF,#111827,"legal law compliance serious charcoal professional"
legal-burgundy-premium,"Legal Burgundy Premium",legal,premium,#7C2D12,#9A3412,#D97706,#FFF7F0,#FFFFFF,#431407,"legal premium burgundy exclusive professional"
fintech-blue-secure,"Fintech Blue Secure",fintech,secure,#1D4ED8,#2563EB,#10B981,#EFF6FF,#FFFFFF,#1E3A5F,"fintech banking secure blue trust payment"
fintech-dark-premium,"Fintech Dark Premium",fintech,premium,#111827,#1F2937,#F59E0B,#030712,#111827,#F9FAFB,"fintech dark premium banking crypto wealth"
fintech-green-wealth,"Fintech Green Wealth",fintech,growth,#064E3B,#065F46,#D97706,#F0FDF4,#FFFFFF,#022C22,"fintech wealth management green growth investment"
healthcare-teal-care,"Healthcare Teal Care",healthcare,caring,#0F766E,#0D9488,#F59E0B,#F0FDFA,#FFFFFF,#042F2E,"healthcare medical teal care wellness trust"
healthcare-blue-clinical,"Healthcare Blue Clinical",healthcare,clinical,#1E40AF,#2563EB,#10B981,#EFF6FF,#FFFFFF,#1E3A5F,"healthcare clinical blue medical professional"
dashboard-neutral-pro,"Dashboard Neutral Pro",dashboard,neutral,#374151,#4B5563,#3B82F6,#F9FAFB,#FFFFFF,#111827,"dashboard admin panel neutral professional enterprise"
dashboard-dark-pro,"Dashboard Dark Pro",dashboard,dark,#111827,#1F2937,#6366F1,#030712,#111827,#F9FAFB,"dashboard admin dark mode professional enterprise"
dashboard-blue-enterprise,"Dashboard Blue Enterprise",dashboard,enterprise,#1E3A5F,#1E4D8C,#F59E0B,#F0F4FF,#FFFFFF,#0F1D36,"dashboard enterprise blue corporate admin"
ecommerce-orange-energy,"E-commerce Orange Energy",ecommerce,energetic,#EA580C,#F97316,#FBBF24,#FFF7ED,#FFFFFF,#7C2D12,"ecommerce shopping orange energetic conversion"
ecommerce-purple-luxury,"E-commerce Purple Luxury",ecommerce,luxury,#6B21A8,#7C3AED,#D97706,#FAF5FF,#FFFFFF,#3B0764,"ecommerce luxury premium purple exclusive"
ecommerce-green-natural,"E-commerce Green Natural",ecommerce,natural,#166534,#15803D,#D97706,#F0FDF4,#FFFFFF,#052E16,"ecommerce natural organic green sustainable"
portfolio-minimal-light,"Portfolio Minimal Light",portfolio,minimal,#18181B,#27272A,#3B82F6,#FAFAFA,#FFFFFF,#18181B,"portfolio personal minimal clean light professional"
portfolio-dark-creative,"Portfolio Dark Creative",portfolio,creative,#0C0A09,#1C1917,#F59E0B,#050505,#0C0A09,#FAFAF9,"portfolio dark creative bold designer developer"
blog-warm-readable,"Blog Warm Readable",blog,warm,#292524,#44403C,#D97706,#FFFBEB,#FFFFFF,#1C1917,"blog content reading warm readable editorial"
blog-minimal-editorial,"Blog Minimal Editorial",blog,editorial,#18181B,#3F3F46,#2563EB,#FAFAFA,#FFFFFF,#09090B,"blog editorial minimal clean reading"
landing-conversion-blue,"Landing Conversion Blue",landing,conversion,#1E40AF,#2563EB,#F59E0B,#EFF6FF,#FFFFFF,#1E293B,"landing page conversion blue saas cta"
landing-dark-startup,"Landing Dark Startup",landing,startup,#0F172A,#1E293B,#818CF8,#030712,#0F172A,#E2E8F0,"landing dark startup tech modern"
landing-gradient-vibrant,"Landing Gradient Vibrant",landing,vibrant,#7C3AED,#4F46E5,#EC4899,#FAF5FF,#FFFFFF,#1E1B4B,"landing gradient vibrant creative startup"
admin-corporate-light,"Admin Corporate Light",admin,corporate,#1E3A5F,#1E4D8C,#2563EB,#F1F5F9,#FFFFFF,#0F172A,"admin panel corporate light enterprise management"
admin-minimal-gray,"Admin Minimal Gray",admin,minimal,#374151,#4B5563,#3B82F6,#F9FAFB,#FFFFFF,#111827,"admin minimal gray clean management"
erp-blue-enterprise,"ERP Blue Enterprise",erp,enterprise,#1E3A5F,#1D4ED8,#F59E0B,#EFF6FF,#FFFFFF,#0F172A,"erp enterprise resource planning blue corporate"
crm-purple-relationship,"CRM Purple Relationship",crm,relationship,#5B21B6,#6D28D9,#10B981,#F5F3FF,#FFFFFF,#2E1065,"crm customer relationship purple sales pipeline"
analytics-blue-data,"Analytics Blue Data",analytics,analytical,#1E40AF,#1D4ED8,#06B6D4,#EFF6FF,#FFFFFF,#1E293B,"analytics data dashboard blue charts insights"
government-navy-official,"Government Navy Official",government,official,#1E3A5F,#002147,#B91C1C,#EFF6FF,#FFFFFF,#0F172A,"government official navy formal authority"
education-blue-trust,"Education Blue Trust",education,trustworthy,#1D4ED8,#2563EB,#059669,#EFF6FF,#FFFFFF,#1E3A5F,"education learning blue trust academic"
real-estate-premium,"Real Estate Premium",realestate,premium,#1F2937,#111827,#D97706,#F9FAFB,#FFFFFF,#030712,"real estate premium property luxury"
consulting-navy-authority,"Consulting Navy Authority",consulting,authority,#0C1445,#1E3A5F,#D97706,#F8FAFC,#FFFFFF,#0C1445,"consulting authority navy management strategy"
accounting-blue-trust,"Accounting Blue Trust",accounting,trust,#1E40AF,#1D4ED8,#059669,#EFF6FF,#FFFFFF,#1E3A5F,"accounting finance trust blue professional"
insurance-blue-stable,"Insurance Blue Stable",insurance,stable,#1E3A5F,#1E4D8C,#D97706,#EFF6FF,#FFFFFF,#0F172A,"insurance stable reliable blue financial"
logistics-orange-action,"Logistics Orange Action",logistics,action,#C2410C,#EA580C,#1D4ED8,#FFF7ED,#FFFFFF,#7C2D12,"logistics supply chain orange action efficient"
manufacturing-gray-industrial,"Manufacturing Gray Industrial",manufacturing,industrial,#374151,#4B5563,#D97706,#F9FAFB,#FFFFFF,#111827,"manufacturing industrial gray serious enterprise"
startup-gradient-modern,"Startup Gradient Modern",startup,modern,#4F46E5,#7C3AED,#EC4899,#FAFAFA,#FFFFFF,#1E1B4B,"startup modern gradient vibrant tech innovative"
dark-saas-midnight,"Dark SaaS Midnight",saas,dark,#0F172A,#1E293B,#6366F1,#020617,#0F172A,#E2E8F0,"dark mode saas midnight professional modern"
dark-admin-charcoal,"Dark Admin Charcoal",admin,dark,#111827,#1F2937,#3B82F6,#030712,#111827,#F9FAFB,"dark admin charcoal enterprise management"
neutral-professional,"Neutral Professional",generic,neutral,#374151,#6B7280,#3B82F6,#F9FAFB,#FFFFFF,#111827,"neutral professional generic corporate clean"
warm-enterprise,"Warm Enterprise",generic,warm,#292524,#57534E,#D97706,#FAFAF9,#FFFFFF,#1C1917,"warm enterprise professional approachable"
teal-innovation,"Teal Innovation",tech,innovative,#0F766E,#0D9488,#7C3AED,#F0FDFA,#FFFFFF,#042F2E,"teal innovation tech modern creative"
rose-premium-brand,"Rose Premium Brand",brand,premium,#9F1239,#BE123C,#D97706,#FFF1F2,#FFFFFF,#4C0519,"premium brand rose luxury exclusive"
cyan-tech-modern,"Cyan Tech Modern",tech,modern,#0891B2,#06B6D4,#F59E0B,#ECFEFF,#FFFFFF,#083344,"tech modern cyan digital innovative"
amber-creative-warm,"Amber Creative Warm",creative,warm,#B45309,#D97706,#0F766E,#FFFBEB,#FFFFFF,#78350F,"creative warm amber design art studio"
