product_type,industry_keywords,recommended_style,recommended_palette,recommended_font,reasoning,tags
compliance-saas,"compliance regulatorio obligaciones certificaciones comex immex prosec oea sat mexico",corporate-minimal,calendario-compliance-navy,proyecto-actual,"El usuario ya tiene la paleta Navy #003366 + Red #D52B1E del proyecto. Fraunces+DM Sans es la combinación establecida. Corporate Minimal comunica autoridad y confianza críticas para compliance regulatorio.","compliance comex mexico regulatorio saas b2b"
b2b-saas-general,"saas b2b software empresa gestion plataforma herramienta productividad",corporate-minimal,saas-navy-professional,inter-inter,"B2B SaaS requiere apariencia profesional que inspire confianza. Navy/Azul oscuro comunica estabilidad. Inter es el estándar de legibilidad para dashboards densos.","b2b saas professional dashboard enterprise"
legal-platform,"legal ley abogado contrato compliance juridico",corporate-minimal,legal-charcoal,playfair-source-sans,"Lo legal requiere seriedad y autoridad. Charcoal/gris oscuro evoca formalidad. Playfair aporta carácter editorial clásico que genera confianza.","legal formal autoridad compliance contratos"
fintech-banking,"fintech banco financiero pagos inversiones dinero credito",corporate-minimal,fintech-blue-secure,manrope-manrope,"Fintech requiere máxima confianza y seguridad. Azul profundo es estándar de trust financiero. Manrope es moderno y legible para datos numéricos.","fintech banking financiero pagos confianza"
fintech-crypto,"crypto blockchain defi nft web3 inversiones digitales",fintech-dark-premium,fintech-dark-premium,sora-sora,"Crypto/Web3 usa dark mode por convención. Sora tiene feeling futurista. Dorado/amber como acento comunica valor y premium.","crypto blockchain dark premium fintech"
healthcare-medical,"salud hospital medico clinica paciente farmacia",flat-design,healthcare-teal-care,lexend-inter,"Healthcare requiere accesibilidad máxima (Lexend mejora lectura). Teal comunica salud y bienestar sin la frialdad del azul clínico puro.","healthcare medico salud accesibilidad"
government-public,"gobierno publico tramite ciudadano municipio federal estado",corporate-minimal,government-navy-official,source-sans-source,"Gobierno requiere formalidad y neutralidad. Navy oficial comunica autoridad. Source Sans es legible en documentos institucionales.","gobierno formal oficial publico"
education-elearning,"educacion aprendizaje curso escuela universidad estudiante",flat-design,education-blue-trust,nunito-nunito,"Educación requiere accesibilidad y amigabilidad. Nunito tiene redondeado que reduce ansiedad. Azul confiable para institución académica.","educacion aprendizaje estudiante accesible"
ecommerce-retail,"tienda comercio producto comprar carrito checkout pago",flat-design,ecommerce-orange-energy,poppins-poppins,"Ecommerce requiere conversión. Naranja/CTA energético impulsa acción. Poppins es legible y comercialmente probado.","ecommerce tienda comercio conversion"
ecommerce-luxury,"luxury premium exclusivo lujo alta-gama premium brand",minimalism,ecommerce-purple-luxury,cormorant-nunito,"Luxury requiere espacio blanco abundante y tipografía serif elegant. El producto habla. Cormorant Garamond comunica exclusividad.","luxury premium exclusivo lujo minimalismo"
analytics-data,"analytics datos metricas dashboard reporte business intelligence",corporate-minimal,analytics-blue-data,work-sans-work,"Analytics requiere claridad y densidad informacional. Azul data es convencional para BI. Work Sans en dashboards densos mantiene legibilidad.","analytics datos dashboard metricas bi"
startup-tech,"startup tech innovacion producto nuevo lanzamiento",landing-gradient-vibrant,startup-gradient-modern,plus-jakarta-inter,"Startups tech necesitan impacto visual y modernidad. Gradiente indigo-violeta es símbolo de innovación. Plus Jakarta tiene energía startup.","startup tech innovacion lanzamiento"
creative-agency,"agencia creativa diseño arte estudio portfolio",minimalism,portfolio-dark-creative,space-grotesk-space,"Creative agencies comunican por el portfolio. Minimalismo negro/blanco deja que el trabajo hable. Space Grotesk tiene personalidad sin ser excéntrico.","agencia creativa portfolio diseño arte"
restaurant-food,"restaurante comida gastronomia chef menu bar cafe",flat-design,amber-creative-warm,josefin-lato,"Gastronomía requiere calidez y apetencia. Amber/warm comunica calor. Josefin aporta elegancia sin perder legibilidad de menú.","restaurante comida gastronomia warmth"
logistics-supply,"logistica transporte envio cadena suministro almacen",corporate-minimal,logistics-orange-action,work-sans-work,"Logística requiere eficiencia y claridad. Naranja acción comunica urgencia/movimiento. Work Sans para dashboards densos de tracking.","logistica transporte tracking supply chain"
real-estate,"inmobiliario propiedad casa apartamento renta compra",flat-design,real-estate-premium,raleway-open-sans,"Real estate vende aspiraciones. Negro/dorado premium comunica exclusividad. Raleway tiene elegancia sin ser ilegible.","inmobiliario propiedades premium aspiracional"
saas-dark-technical,"developer tool devops monitoring tecnico api codigo",dark-mode,dark-admin-charcoal,geist-geist,"Dev tools usan dark mode por convención del ecosistema. Geist es la fuente de Vercel/Next.js — alta credibilidad técnica.","developer technical dark devops api"
ai-product,"inteligencia artificial ai ml machine learning automacion",aurora-ui,landing-dark-startup,sora-sora,"AI products usan aurora/glow para comunicar inteligencia futurista. Dark con glows de color es el estándar del sector en 2024-2025.","ai inteligencia artificial ml futurista"
consulting-strategy,"consultoria estrategia management advisory profesional",corporate-minimal,consulting-navy-authority,libre-baskerville-lato,"Consultoría vende expertise y autoridad. Navy oscuro y serif comunican experiencia y seriedad. Baskerville tiene legado académico.","consultoria estrategia management autoridad"
hr-people,"recursos humanos personas empleados reclutamiento talento",flat-design,saas-emerald-growth,dm-sans-dm-sans,"HR es sobre personas — el verde emerald comunica crecimiento y bienestar. DM Sans es amigable y accesible para todos los empleados.","rrhh personas empleados talento crecimiento"
project-management-tool,"proyecto management tarea equipo colaboracion agile scrum",flat-design,saas-slate-minimal,inter-inter,"PM tools requieren máxima legibilidad y neutralidad. Slate es versátil. Inter es el estándar para interfaces densas de trabajo.","proyecto gestion tareas equipo colaboracion"
calendar-events,"calendario eventos agenda citas reuniones scheduling",flat-design,saas-slate-minimal,dm-sans-dm-sans,"Calendarios requieren claridad y densidad sin abrumar. Slate neutral no compite con los colores de eventos. DM Sans legible en celdas pequeñas.","calendario agenda citas scheduling eventos"
notification-system,"notificaciones alertas recordatorio avisos push email",flat-design,saas-navy-professional,inter-inter,"Sistema de notificaciones debe ser confiable y claro. Navy establece jerarquía. Inter garantiza legibilidad en textos cortos de alert.","notificaciones alertas avisos recordatorio"
customer-support,"soporte cliente helpdesk tickets chat atencion",flat-design,saas-emerald-growth,nunito-nunito,"Support debe ser amigable y accesible. Verde/emerald comunica disponibilidad y ayuda. Nunito reduce la ansiedad en situaciones de problema.","soporte cliente helpdesk tickets chat"
ecommerce-natural,"organico natural sostenible eco verde ambiental",flat-design,ecommerce-green-natural,work-sans-work,"Natural/organic requiere paleta verde terrosa auténtica. Sin brillos artificiales. Work Sans es limpio sin ser frío.","organico natural sostenible eco ambiental"
insurance,"seguros poliza cobertura riesgo proteccion",corporate-minimal,insurance-blue-stable,"Seguros requieren máxima confianza y estabilidad. Azul navy estable es el estándar del sector. Fuente serif inspira solidez.",libre-baskerville-lato,"seguros poliza cobertura riesgo confianza"
manufacturing-industry,"manufactura industrial fabrica produccion planta maquinaria",corporate-minimal,manufacturing-gray-industrial,work-sans-work,"Industrial requiere funcionalidad sobre estética. Gris industrial es honesto. Work Sans es claro en ambientes ruidosos de planta.","manufactura industrial fabrica produccion"
accounting-finance,"contabilidad finanzas contador estados financieros impuestos",corporate-minimal,accounting-blue-trust,source-sans-source,"Contabilidad requiere precisión y confianza. Azul trust estándar financiero. Source Sans legible en tablas y reportes numéricos.","contabilidad finanzas impuestos estados financieros"
event-management-platform,"eventos conferencia congreso registro asistentes speaker",flat-design,saas-violet-creative,plus-jakarta-inter,"Eventos requieren energía y emoción. Violeta creativo diferencia sin ser excéntrico. Plus Jakarta es moderno y energético.","eventos conferencia registro asistentes"
booking-reservation,"reserva hotel tour viaje booking disponibilidad",flat-design,saas-emerald-growth,dm-sans-dm-sans,"Reservas requieren claridad en disponibilidad y confianza en el proceso. Emerald positivo. DM Sans legible en calendarios de reserva.","reserva hotel tour viaje disponibilidad"
