id,category,rule_id,name,description,platform,priority,tags
ux-a11y-01,accessibility,color-contrast,"Contrast Ratio Minimum","Minimum 4.5:1 ratio for normal text; 3:1 for large text (18px+ or 14px bold).",web,CRITICAL,"contrast accessibility wcag aa text"
ux-a11y-02,accessibility,focus-states,"Visible Focus Rings","Visible focus rings on interactive elements (2-4px outline). Never remove focus outline.",web,CRITICAL,"focus ring keyboard accessibility tab navigation"
ux-a11y-03,accessibility,alt-text,"Descriptive Alt Text","All meaningful images must have descriptive alt text. Decorative images use alt=''.",web,CRITICAL,"alt text images accessibility screen reader"
ux-a11y-04,accessibility,aria-labels,"ARIA Labels for Icon-only Buttons","Icon-only buttons require aria-label. Never leave interactive elements unlabeled.",web,CRITICAL,"aria label icon button accessibility"
ux-a11y-05,accessibility,keyboard-nav,"Keyboard Navigation Order","Tab order must match visual reading order. All interactive elements must be keyboard-reachable.",web,CRITICAL,"keyboard navigation tab order accessibility"
ux-a11y-06,accessibility,form-labels,"Form Field Labels","Every input must have an explicit visible label. Placeholder text is not a label.",web,CRITICAL,"form label input accessibility"
ux-a11y-07,accessibility,skip-links,"Skip to Main Content","First focusable element should be skip navigation link for keyboard users.",web,HIGH,"skip link keyboard navigation accessibility"
ux-a11y-08,accessibility,heading-hierarchy,"Sequential Heading Hierarchy","Use h1→h6 in order. Never skip levels (h1 then h3). One h1 per page.",web,HIGH,"heading hierarchy h1 h2 h3 accessibility structure"
ux-a11y-09,accessibility,color-not-only,"Color Not the Only Indicator","Never convey information by color alone. Add icon text pattern as supplement.",web,HIGH,"color only accessibility colorblind indicator"
ux-a11y-10,accessibility,reduced-motion,"Respect prefers-reduced-motion","Reduce or disable animations when user has enabled reduced motion system preference.",web,HIGH,"reduced motion animation accessibility vestibular"
ux-touch-01,touch,touch-target-size,"Minimum Touch Target Size","Touch targets must be at least 44×44px. Extend hit area with padding if visual is smaller.",web,CRITICAL,"touch target 44px clickable area size"
ux-touch-02,touch,touch-spacing,"Touch Target Spacing","Minimum 8px gap between adjacent touch targets to prevent mis-taps.",web,CRITICAL,"touch spacing gap targets mis-tap"
ux-touch-03,touch,hover-vs-tap,"Tap Not Hover for Primary Actions","Don't rely on hover-only interactions. All primary actions must work on tap/click.",web,CRITICAL,"hover tap click primary interaction"
ux-touch-04,touch,loading-buttons,"Disable Button During Async","Disable submit buttons during async operations. Show loading spinner or skeleton.",web,HIGH,"button loading disabled async spinner"
ux-touch-05,touch,error-feedback,"Error Message Near Problem","Show validation errors immediately below the related field not just at top of form.",web,HIGH,"error feedback form validation placement"
ux-touch-06,touch,cursor-pointer,"Cursor Pointer on Clickable Elements","Add cursor-pointer CSS to all clickable non-button elements.",web,MEDIUM,"cursor pointer clickable ux"
ux-perf-01,performance,image-optimization,"Use WebP/AVIF Image Formats","Convert images to WebP or AVIF. Use responsive srcset/sizes. Lazy load below fold.",web,HIGH,"webp avif image optimization performance"
ux-perf-02,performance,image-dimension,"Declare Image Dimensions","Always declare width and height on images to prevent Cumulative Layout Shift (CLS).",web,HIGH,"cls layout shift image dimensions performance"
ux-perf-03,performance,font-loading,"Font Display Swap","Use font-display: swap to prevent invisible text during font load (FOIT).",web,HIGH,"font loading swap foit performance"
ux-perf-04,performance,lazy-loading,"Lazy Load Below-Fold Content","Use dynamic import() for routes and React.lazy for components not visible on initial load.",web,HIGH,"lazy loading code splitting below fold"
ux-perf-05,performance,bundle-splitting,"Split Code by Route","Use React.lazy + Suspense to split code by route. Reduces initial bundle and TTI.",web,HIGH,"bundle splitting code split route performance"
ux-perf-06,performance,progressive-loading,"Skeleton Screens Over Spinners","Use skeleton screens for operations >300ms. Spinner only for <300ms operations.",web,MEDIUM,"skeleton screen loading progressive ux"
ux-perf-07,performance,virtualize-lists,"Virtualize Lists Over 50 Items","Use virtualization for lists with 50+ items to avoid rendering all DOM nodes.",web,MEDIUM,"virtualization long list performance dom"
ux-perf-08,performance,debounce-throttle,"Debounce/Throttle High-Frequency Events","Apply debounce to search inputs (300ms) and throttle to scroll resize handlers.",web,MEDIUM,"debounce throttle search scroll performance"
ux-style-01,style,style-match,"Match Style to Product Type","Choose UI style based on product category and user expectations not personal preference.",web,HIGH,"style match product industry appropriate"
ux-style-02,style,consistency,"Visual Consistency Across Pages","Use the same style effects radius shadows across all pages. Inconsistency breaks trust.",web,HIGH,"consistency style pages components"
ux-style-03,style,no-emoji-icons,"SVG Icons Not Emojis","Use vector icon libraries (Lucide Heroicons) never emojis as structural UI icons.",web,HIGH,"icons svg lucide no emoji"
ux-style-04,style,effects-match-style,"Effects Match Chosen Style","Shadows blur radius must align with the chosen style. No glassmorphism in flat design.",web,MEDIUM,"effects shadows blur radius style consistency"
ux-style-05,style,primary-action,"One Primary Action Per Screen","Each screen/view should have exactly one primary CTA. Secondary actions are visually subordinate.",web,HIGH,"primary action cta single focus"
ux-layout-01,layout,viewport-meta,"Viewport Meta Tag","Always include <meta name='viewport' content='width=device-width initial-scale=1'>. Never disable zoom.",web,CRITICAL,"viewport meta mobile responsive"
ux-layout-02,layout,mobile-first,"Mobile-First Design","Design for 375px first then scale up. Don't design desktop and adapt down.",web,HIGH,"mobile first responsive design 375"
ux-layout-03,layout,breakpoint-consistency,"Systematic Breakpoints","Use consistent breakpoints: 375/768/1024/1440. Don't use random pixel values.",web,HIGH,"breakpoints responsive consistent systematic"
ux-layout-04,layout,readable-font-size,"Minimum 16px Body Text on Mobile","Body text minimum 16px on mobile to prevent iOS auto-zoom on input focus.",web,HIGH,"font size 16px mobile ios zoom"
ux-layout-05,layout,horizontal-scroll,"No Horizontal Scroll","Content must fit viewport width on mobile. No horizontal scroll except intentional carousels.",web,CRITICAL,"horizontal scroll mobile viewport overflow"
ux-layout-06,layout,spacing-scale,"8pt/8dp Spacing System","Use 4pt/8pt incremental spacing. Avoid arbitrary pixel values for margins/padding.",web,MEDIUM,"spacing scale 8pt system consistent"
ux-layout-07,layout,z-index-management,"Define Z-Index Scale","Create z-index scale: 0/10/20/40/100/1000. Don't use z-index: 9999.",web,MEDIUM,"z-index scale layers management"
ux-layout-08,layout,content-priority,"Show Core Content First","On mobile show primary content first. Fold or hide secondary content.",web,HIGH,"content priority mobile above fold"
ux-layout-09,layout,visual-hierarchy,"Visual Hierarchy via Size Spacing Contrast","Establish hierarchy through size spacing and contrast — not color alone.",web,HIGH,"visual hierarchy size spacing contrast"
ux-type-01,typography,line-height,"Line Height 1.5-1.75 for Body","Body text needs 1.5-1.75 line-height for readability. Headings can be tighter (1.2-1.3).",web,MEDIUM,"line height body text readability"
ux-type-02,typography,line-length,"65-75 Characters Per Line","Limit line length to 65-75 characters. Too wide causes eye strain too narrow breaks reading flow.",web,MEDIUM,"line length measure characters readable"
ux-type-03,typography,font-scale,"Consistent Type Scale","Use a defined type scale: 12/14/16/18/24/32/48px. Avoid arbitrary font sizes.",web,MEDIUM,"type scale font size consistent hierarchy"
ux-type-04,typography,weight-hierarchy,"Font Weight Hierarchy","Bold headings (600-700) Regular body (400) Medium labels (500). Weight conveys importance.",web,MEDIUM,"font weight hierarchy bold medium regular"
ux-type-05,typography,color-semantic,"Semantic Color Tokens","Define semantic tokens (primary secondary error surface) not raw hex in components.",web,MEDIUM,"semantic color tokens theming"
ux-type-06,typography,number-tabular,"Tabular Numbers for Data","Use tabular/monospaced figures for number columns prices and timers.",web,LOW,"tabular numbers monospace data columns"
ux-anim-01,animation,duration-timing,"150-300ms for Micro-interactions","Micro-interactions: 150-300ms. Complex transitions: max 400ms. Never >500ms for UI.",web,MEDIUM,"animation duration timing 300ms micro"
ux-anim-02,animation,transform-performance,"Animate Only Transform and Opacity","Use transform and opacity for animations. Avoid animating width height top left (causes reflow).",web,HIGH,"animation performance transform opacity reflow"
ux-anim-03,animation,loading-states,"Skeleton for Operations >300ms","Show skeleton/progress when content takes >300ms to load.",web,MEDIUM,"skeleton loading animation 300ms progress"
ux-anim-04,animation,easing,"Ease-out Enter Ease-in Exit","Elements entering the view: ease-out. Elements leaving: ease-in. Never linear for UI.",web,MEDIUM,"easing ease-out ease-in animation enter exit"
ux-anim-05,animation,motion-meaning,"Animation Must Have Meaning","Every animation must express cause-effect. No purely decorative animations.",web,MEDIUM,"animation meaning purpose decorative"
ux-anim-06,animation,interruptible,"Animations Must Be Interruptible","User action (click/hover/tap) must immediately interrupt in-progress animations.",web,MEDIUM,"animation interruptible user action cancel"
ux-anim-07,animation,scale-feedback,"Scale Feedback on Clickable Cards","Subtle scale (0.98-1.02) on press for clickable cards and buttons. Restore on release.",web,LOW,"scale press feedback clickable cards buttons"
ux-form-01,forms,input-labels,"Visible Labels for Every Input","Every input requires a visible label. Placeholder text disappears on type — not a label.",web,HIGH,"form label visible input placeholder"
ux-form-02,forms,error-placement,"Errors Below Related Field","Show validation errors directly below the failing field not only at form top.",web,HIGH,"error validation placement below field form"
ux-form-03,forms,submit-feedback,"Loading State on Form Submit","Show loading state during form submission. Show success or error after response.",web,HIGH,"form submit loading success error feedback"
ux-form-04,forms,required-indicators,"Mark Required Fields","Indicate required fields with asterisk (*) or mark optional fields explicitly.",web,HIGH,"required fields asterisk optional form"
ux-form-05,forms,empty-states,"Helpful Empty States","When no data exists show an informative message and a clear action (not a blank screen).",web,HIGH,"empty state no data message action"
ux-form-06,forms,toast-dismiss,"Auto-dismiss Toasts 3-5s","Success toasts auto-dismiss in 3-5 seconds. Errors persist until manually dismissed.",web,MEDIUM,"toast dismiss auto 3s 5s notification"
ux-form-07,forms,confirmation-dialogs,"Confirm Destructive Actions","Show confirmation dialog before delete or irreversible actions with clear cancel/confirm.",web,HIGH,"confirm dialog destructive delete irreversible"
ux-form-08,forms,progressive-disclosure,"Progressive Disclosure","Show simple options first. Reveal advanced options only when needed.",web,HIGH,"progressive disclosure advanced options simple first"
ux-form-09,forms,inline-validation,"Validate on Blur Not Keystroke","Trigger validation when user leaves the field (blur) not while typing.",web,MEDIUM,"inline validation blur keystroke form ux"
ux-form-10,forms,password-toggle,"Show/Hide Password Toggle","Password fields need a visibility toggle button.",web,MEDIUM,"password toggle show hide input"
ux-form-11,forms,undo-support,"Undo for Destructive Actions","Offer undo capability for bulk or destructive actions via snackbar/toast.",web,MEDIUM,"undo destructive bulk action toast"
ux-form-12,forms,error-clarity,"Error Messages State Cause + Fix","Error messages must explain what went wrong AND how to fix it. Not just 'Invalid input'.",web,HIGH,"error message clarity cause fix actionable"
ux-form-13,forms,focus-management,"Auto-focus First Invalid Field","After form submission error auto-focus the first invalid field.",web,MEDIUM,"focus management invalid field auto-focus"
ux-form-14,forms,destructive-emphasis,"Destructive Actions Use Red","Delete/irreversible actions use semantic danger (red) color and are separated from primary actions.",web,HIGH,"destructive red danger color separated"
ux-nav-01,navigation,bottom-nav-limit,"Bottom Navigation Max 5 Items","Bottom navigation bar maximum 5 items each with icon and label.",web,HIGH,"bottom nav 5 items label icon navigation"
ux-nav-02,navigation,back-behavior,"Predictable Back Navigation","Back navigation must be consistent and predictable. Preserve scroll position and state.",web,HIGH,"back navigation predictable state preservation"
ux-nav-03,navigation,deep-linking,"All Key Screens Deep-linkable","Every important screen must have a shareable URL for notifications and bookmarking.",web,HIGH,"deep link url shareable navigation"
ux-nav-04,navigation,nav-label-icon,"Labels + Icons in Navigation","Navigation items must have both icon and text label. Icon-only navigation hurts discoverability.",web,HIGH,"nav label icon text navigation ux"
ux-nav-05,navigation,nav-state-active,"Highlight Active Navigation Item","Current location must be visually highlighted in navigation (color weight indicator).",web,HIGH,"active state navigation highlight current"
ux-nav-06,navigation,modal-escape,"Clear Dismiss for Modals","Every modal and sheet must have a visible close button. Support Escape key and backdrop click.",web,HIGH,"modal dismiss close escape backdrop"
ux-nav-07,navigation,state-preservation,"Preserve Scroll and Filter on Back","Navigating back must restore previous scroll position and any active filters.",web,MEDIUM,"state preservation scroll filter back navigation"
ux-nav-08,navigation,breadcrumb-web,"Breadcrumbs for 3+ Level Deep","For hierarchies 3+ levels deep add breadcrumb navigation for orientation.",web,MEDIUM,"breadcrumb navigation hierarchy deep"
ux-nav-09,navigation,navigation-consistency,"Navigation Position Consistent","Navigation placement (sidebar topbar bottom) must not change between pages.",web,HIGH,"navigation consistency position pages"
ux-nav-10,navigation,persistent-nav,"Core Navigation Always Accessible","Main navigation must be reachable from deep pages. Don't hide it in sub-flows.",web,HIGH,"navigation accessible persistent deep pages"
ux-chart-01,charts,chart-type,"Match Chart to Data Type","Line for time trends. Bar for comparisons. Pie/donut max 5 categories. Scatter for correlations.",web,HIGH,"chart type data match trend comparison"
ux-chart-02,charts,color-guidance,"Accessible Chart Colors","Don't rely on red/green only pairs (colorblind). Use patterns textures as supplement.",web,HIGH,"chart color accessible colorblind"
ux-chart-03,charts,legend-visible,"Always Show Chart Legend","Legend must be visible near the chart not hidden below a scroll fold.",web,MEDIUM,"chart legend visible placement"
ux-chart-04,charts,tooltip-on-interact,"Tooltips on Hover/Click","Provide tooltips showing exact values on hover (desktop) or tap (mobile).",web,MEDIUM,"chart tooltip hover click values"
ux-chart-05,charts,axis-labels,"Label Axes with Units","Label both axes with units and readable scale. No truncated or rotated labels on mobile.",web,MEDIUM,"chart axis labels units scale readable"
ux-chart-06,charts,empty-data-state,"Meaningful Empty Chart State","When no data show informative message with guidance. Not a blank/broken chart.",web,HIGH,"chart empty state no data message"
ux-chart-07,charts,loading-chart,"Skeleton for Chart Loading","Show skeleton or shimmer placeholder while chart data loads. Not empty axes.",web,MEDIUM,"chart loading skeleton shimmer"
ux-chart-08,charts,no-pie-overuse,"Bar Chart Over Pie for 5+ Categories","For more than 5 categories use horizontal bar chart instead of pie.",web,MEDIUM,"pie chart bar 5 categories limit"
ux-chart-09,charts,responsive-chart,"Charts Responsive on Mobile","Charts must reflow or simplify on small screens. Consider fewer ticks horizontal bar.",web,HIGH,"chart responsive mobile small screen"
ux-chart-10,charts,gridline-subtle,"Subtle Grid Lines","Grid lines should be low-contrast (gray-100/200) to not compete with data.",web,LOW,"chart gridlines subtle low-contrast background"
